4rrk1/3bq2p/3npppP/ppNp4/3P2B1/P1P1P3/5PPQ/R3R1K1 w - - 2 26,0.87
3qrrk1/5p1p/2bnp1pP/pp1p4/3P4/PNP1P2Q/4BPP1/R3R1K1 w - - 3 23,0.6
4rrk1/3bq2p/3npppP/ppNp4/3P2B1/P1P1P3/5PPQ/1R2R1K1 b - - 3 26,0.82
4rrk1/3bq2p/3npppP/1pNp4/p2P2B1/P1P1P3/5PPQ/1R2R1K1 w - - 0 27,0.77
4rrk1/4qp1p/2bnp1pP/ppNp4/3P4/P1P1P2Q/4BPP1/R3R1K1 w - - 5 24,0.56
2r2rk1/3bq2p/3npppP/1pNp4/pR1P4/P1P1P3/4BPPQ/4R1K1 b - - 3 28,0.67
4rrk1/3bq2p/3npppP/1pNp4/pR1P2B1/P1P1P3/5PPQ/4R1K1 b - - 1 27,0.84
2r2rk1/3bq2p/3npppP/1pNp4/pR1P2B1/P1P1P3/5PPQ/4R1K1 w - - 2 28,0.84
5rk1/2r1q2p/2bnpppP/1pNp4/pR1P4/P1P1P3/4BPPQ/1R4K1 w - - 6 30,0.72
2r2rk1/4q2p/2bnpppP/1pNp4/pR1P4/P1P1P3/4BPPQ/1R4K1 b - - 5 29,0.32
5rk1/2r1q2p/2bnpppP/1pNp4/pR1P2B1/P1P1P3/5PPQ/1R4K1 b - - 7 30,0.76
2r2rk1/4q2p/2bnpppP/1pNp4/pR1P4/P1P1P3/4BPPQ/4R1K1 w - - 4 29,0.68
5rk1/2Qbq2p/4pppP/1pP5/p3p1B1/P1P5/5PP1/1R4K1 b - - 1 34,0.0
2r3k1/2Qbq2p/4pppP/1pP5/p3p1B1/P1P5/5PP1/1R4K1 w - - 2 35,0.0
5rk1/2rbq2p/3npppP/1pNp4/pR1P2B1/P1P1P3/5PPQ/1R4K1 w - - 8 31,0.65
5rk1/3bq2p/4pppP/1pP5/p3p1B1/P1P5/5PPQ/1R4K1 w - - 0 34,0.05
2r3k1/1Q1bq2p/4pppP/1pP5/p3p1B1/P1P5/5PP1/1R4K1 b - - 3 35,0.0
5rk1/3bq2p/4pppP/1pPp4/p3R1B1/P1P5/5PPQ/1R4K1 b - - 0 33,0.0
2r5/1Q1bqk1p/4pppP/1RP5/p3p1B1/P1P5/5PP1/6K1 b - - 0 36,0.0
5rk1/2rbq2p/3npppP/1pNp4/pR1PP1B1/P1P5/5PPQ/1R4K1 b - - 0 31,0.47
4Q3/5k1p/4pppP/1bP5/p3p1B1/P1P5/5PP1/6K1 b - - 0 38,0.0
